variant,n_runs,n_time_valid,n_score_valid,n_strict_valid,n_repeat_valid,time_corr,time_spearman,time_mae,time_dir_acc,time_band_acc,repeat_corr,repeat_spearman,repeat_mae,score_corr,score_mae,tie_gate_threshold,tie_shrink_power,tie_margin_weight_alpha,min_anchor_quality,anchor_outlier_mad_scale,anchor_outlier_min_delta,combo_index
O0,128,121,128,121,25,,,0.356836,,1.0,,,0.307569,,0.34009,0.48,1.25,0.1,0.3,2.5,0.35,30
O1,124,120,0,0,0,-0.009937,-0.01598,1.365798,0.833333,,,,,,,0.48,1.25,0.1,0.3,2.5,0.35,30
O2,124,120,124,120,25,0.205024,0.19259,1.456065,0.841667,0.475,0.721019,0.749231,2.02733,0.91358,0.248904,0.48,1.25,0.1,0.3,2.5,0.35,30
O3,122,120,122,120,25,0.186502,0.209973,1.47294,0.875,0.466667,0.732208,0.740769,1.792937,0.947996,0.237865,0.48,1.25,0.1,0.3,2.5,0.35,30
ALL,498,481,374,361,75,0.316351,0.4307,1.160944,0.85,0.614958,0.781145,0.723143,1.375945,0.906201,0.276511,0.48,1.25,0.1,0.3,3.5,0.3,31
O0,128,121,128,121,25,,,0.356836,,1.0,,,0.307569,,0.34009,0.48,1.25,0.1,0.3,3.5,0.3,31
O1,124,120,0,0,0,-0.011704,-0.02146,1.364635,0.833333,,,,,,,0.48,1.25,0.1,0.3,3.5,0.3,31
O2,124,120,124,120,25,0.205024,0.19259,1.456065,0.841667,0.475,0.721019,0.749231,2.02733,0.91358,0.248904,0.48,1.25,0.1,0.3,3.5,0.3,31
O3,122,120,122,120,25,0.186502,0.209973,1.47294,0.875,0.466667,0.732208,0.740769,1.792937,0.947996,0.237865,0.48,1.25,0.1,0.3,3.5,0.3,31
ALL,498,481,374,361,75,0.316368,0.430631,1.161513,0.85,0.614958,0.781145,0.723143,1.375945,0.906201,0.276511,0.48,1.25,0.1,0.3,3.5,0.35,32
O0,128,121,128,121,25,,,0.356836,,1.0,,,0.307569,,0.34009,0.48,1.25,0.1,0.3,3.5,0.35,32
O1,124,120,0,0,0,-0.01077,-0.022196,1.366916,0.833333,,,,,,,0.48,1.25,0.1,0.3,3.5,0.35,32
O2,124,120,124,120,25,0.205024,0.19259,1.456065,0.841667,0.475,0.721019,0.749231,2.02733,0.91358,0.248904,0.48,1.25,0.1,0.3,3.5,0.35,32
O3,122,120,122,120,25,0.186502,0.209973,1.47294,0.875,0.466667,0.732208,0.740769,1.792937,0.947996,0.237865,0.48,1.25,0.1,0.3,3.5,0.35,32
ALL,498,481,374,361,75,0.307331,0.430604,1.164416,0.85,0.609418,0.792196,0.738305,1.388388,0.889777,0.278793,0.48,1.25,0.1,0.35,2.5,0.3,33
O0,128,121,128,121,25,,,0.365972,,1.0,,,0.307987,,0.348727,0.48,1.25,0.1,0.35,2.5,0.3,33
O1,124,120,0,0,0,-0.009908,-0.017717,1.369025,0.833333,,,,,,,0.48,1.25,0.1,0.35,2.5,0.3,33
O2,124,120,124,120,25,0.180378,0.179554,1.451229,0.841667,0.475,0.730638,0.778462,2.03736,0.884824,0.254622,0.48,1.25,0.1,0.35,2.5,0.3,33
O3,122,120,122,120,25,0.185582,0.211091,1.478091,0.875,0.466667,0.749626,0.75,1.819818,0.9502,0.229989,0.48,1.25,0.1,0.35,2.5,0.3,33
ALL,498,481,374,361,75,0.30738,0.430501,1.164357,0.85,0.609418,0.792196,0.738305,1.388388,0.889777,0.278793,0.48,1.25,0.1,0.35,2.5,0.35,34
O0,128,121,128,121,25,,,0.365972,,1.0,,,0.307987,,0.348727,0.48,1.25,0.1,0.35,2.5,0.35,34
O1,124,120,0,0,0,-0.009528,-0.018835,1.368787,0.833333,,,,,,,0.48,1.25,0.1,0.35,2.5,0.35,34
