variant,n_runs,n_time_valid,n_score_valid,n_strict_valid,n_repeat_valid,time_corr,time_spearman,time_mae,time_dir_acc,time_band_acc,repeat_corr,repeat_spearman,repeat_mae,score_corr,score_mae,tie_gate_threshold,tie_shrink_power,tie_margin_weight_alpha,min_anchor_quality,anchor_outlier_mad_scale,anchor_outlier_min_delta,combo_index
O0,128,121,128,121,25,,,0.352988,,1.0,,,0.298984,,0.336565,0.6,0.65,0.1,0.3,3.5,0.35,104
O1,124,120,0,0,0,-0.011734,-0.019529,1.363001,0.833333,,,,,,,0.6,0.65,0.1,0.3,3.5,0.35,104
O2,124,120,124,120,25,0.204534,0.192847,1.45972,0.841667,0.475,0.721263,0.752308,2.036026,0.913598,0.247931,0.6,0.65,0.1,0.3,3.5,0.35,104
O3,122,120,122,120,25,0.185526,0.207806,1.475033,0.875,0.466667,0.731651,0.740769,1.798174,0.947866,0.237592,0.6,0.65,0.1,0.3,3.5,0.35,104
ALL,498,481,374,361,75,0.307027,0.430265,1.163233,0.85,0.612188,0.79246,0.742972,1.389528,0.890073,0.277265,0.6,0.65,0.1,0.35,2.5,0.3,105
O0,128,121,128,121,25,,,0.362117,,1.0,,,0.299402,,0.345194,0.6,0.65,0.1,0.35,2.5,0.3,105
O1,124,120,0,0,0,-0.010911,-0.015098,1.36259,0.833333,,,,,,,0.6,0.65,0.1,0.35,2.5,0.3,105
O2,124,120,124,120,25,0.180054,0.179582,1.454679,0.841667,0.475,0.730528,0.784615,2.045716,0.884824,0.253919,0.6,0.65,0.1,0.35,2.5,0.3,105
O3,122,120,122,120,25,0.184439,0.207716,1.480225,0.875,0.458333,0.748977,0.75,1.823466,0.950075,0.229723,0.6,0.65,0.1,0.35,2.5,0.3,105
ALL,498,481,374,361,75,0.307326,0.430383,1.163473,0.85,0.612188,0.79246,0.742972,1.389528,0.890073,0.277265,0.6,0.65,0.1,0.35,2.5,0.35,106
O0,128,121,128,121,25,,,0.362117,,1.0,,,0.299402,,0.345194,0.6,0.65,0.1,0.35,2.5,0.35,106
O1,124,120,0,0,0,-0.009447,-0.015098,1.363551,0.833333,,,,,,,0.6,0.65,0.1,0.35,2.5,0.35,106
O2,124,120,124,120,25,0.180054,0.179582,1.454679,0.841667,0.475,0.730528,0.784615,2.045716,0.884824,0.253919,0.6,0.65,0.1,0.35,2.5,0.35,106
O3,122,120,122,120,25,0.184439,0.207716,1.480225,0.875,0.458333,0.748977,0.75,1.823466,0.950075,0.229723,0.6,0.65,0.1,0.35,2.5,0.35,106
ALL,498,481,374,361,75,0.306645,0.429144,1.163919,0.85,0.612188,0.79246,0.742972,1.389528,0.890073,0.277265,0.6,0.65,0.1,0.35,3.5,0.3,107
O0,128,121,128,121,25,,,0.362117,,1.0,,,0.299402,,0.345194,0.6,0.65,0.1,0.35,3.5,0.3,107
O1,124,120,0,0,0,-0.012909,-0.023349,1.365338,0.833333,,,,,,,0.6,0.65,0.1,0.35,3.5,0.3,107
O2,124,120,124,120,25,0.180054,0.179582,1.454679,0.841667,0.475,0.730528,0.784615,2.045716,0.884824,0.253919,0.6,0.65,0.1,0.35,3.5,0.3,107
O3,122,120,122,120,25,0.184439,0.207716,1.480225,0.875,0.458333,0.748977,0.75,1.823466,0.950075,0.229723,0.6,0.65,0.1,0.35,3.5,0.3,107
ALL,498,481,374,361,75,0.306944,0.429262,1.164159,0.85,0.612188,0.79246,0.742972,1.389528,0.890073,0.277265,0.6,0.65,0.1,0.35,3.5,0.35,108
O0,128,121,128,121,25,,,0.362117,,1.0,,,0.299402,,0.345194,0.6,0.65,0.1,0.35,3.5,0.35,108
O1,124,120,0,0,0,-0.011445,-0.023349,1.366299,0.833333,,,,,,,0.6,0.65,0.1,0.35,3.5,0.35,108
O2,124,120,124,120,25,0.180054,0.179582,1.454679,0.841667,0.475,0.730528,0.784615,2.045716,0.884824,0.253919,0.6,0.65,0.1,0.35,3.5,0.35,108
O3,122,120,122,120,25,0.184439,0.207716,1.480225,0.875,0.458333,0.748977,0.75,1.823466,0.950075,0.229723,0.6,0.65,0.1,0.35,3.5,0.35,108
ALL,498,481,374,361,75,0.317286,0.432324,1.152422,0.85,0.617729,0.791557,0.729028,1.354984,0.904746,0.277897,0.6,0.65,0.55,0.25,2.5,0.3,109
O0,128,121,128,121,25,,,0.352213,,1.0,,,0.296346,,0.336075,0.6,0.65,0.55,0.25,2.5,0.3,109
O1,124,120,0,0,0,-0.014036,-0.015598,1.351856,0.833333,,,,,,,0.6,0.65,0.55,0.25,2.5,0.3,109
O2,124,120,124,120,25,0.204378,0.19975,1.447262,0.841667,0.475,0.732051,0.759231,1.999896,0.911306,0.253949,0.6,0.65,0.55,0.25,2.5,0.3,109
O3,122,120,122,120,25,0.188121,0.211022,1.465025,0.875,0.466667,0.742408,0.74,1.768711,0.944511,0.241197,0.6,0.65,0.55,0.25,2.5,0.3,109
ALL,498,481,374,361,75,0.317563,0.43247,1.153092,0.85,0.617729,0.791557,0.729028,1.354984,0.904746,0.277897,0.6,0.65,0.55,0.25,2.5,0.35,110
O0,128,121,128,121,25,,,0.352213,,1.0,,,0.296346,,0.336075,0.6,0.65,0.55,0.25,2.5,0.35,110
O1,124,120,0,0,0,-0.012179,-0.015244,1.354542,0.833333,,,,,,,0.6,0.65,0.55,0.25,2.5,0.35,110
O2,124,120,124,120,25,0.204378,0.19975,1.447262,0.841667,0.475,0.732051,0.759231,1.999896,0.911306,0.253949,0.6,0.65,0.55,0.25,2.5,0.35,110
O3,122,120,122,120,25,0.188121,0.211022,1.465025,0.875,0.466667,0.742408,0.74,1.768711,0.944511,0.241197,0.6,0.65,0.55,0.25,2.5,0.35,110
ALL,498,481,374,361,75,0.316902,0.431326,1.153103,0.85,0.617729,0.791557,0.729028,1.354984,0.904746,0.277897,0.6,0.65,0.55,0.25,3.5,0.3,111
O0,128,121,128,121,25,,,0.352213,,1.0,,,0.296346,,0.336075,0.6,0.65,0.55,0.25,3.5,0.3,111
O1,124,120,0,0,0,-0.016034,-0.023856,1.354589,0.833333,,,,,,,0.6,0.65,0.55,0.25,3.5,0.3,111
O2,124,120,124,120,25,0.204378,0.19975,1.447262,0.841667,0.475,0.732051,0.759231,1.999896,0.911306,0.253949,0.6,0.65,0.55,0.25,3.5,0.3,111
O3,122,120,122,120,25,0.188121,0.211022,1.465025,0.875,0.466667,0.742408,0.74,1.768711,0.944511,0.241197,0.6,0.65,0.55,0.25,3.5,0.3,111
ALL,498,481,374,361,75,0.317179,0.431472,1.153774,0.85,0.617729,0.791557,0.729028,1.354984,0.904746,0.277897,0.6,0.65,0.55,0.25,3.5,0.35,112
O0,128,121,128,121,25,,,0.352213,,1.0,,,0.296346,,0.336075,0.6,0.65,0.55,0.25,3.5,0.35,112
O1,124,120,0,0,0,-0.014173,-0.023502,1.357275,0.833333,,,,,,,0.6,0.65,0.55,0.25,3.5,0.35,112
O2,124,120,124,120,25,0.204378,0.19975,1.447262,0.841667,0.475,0.732051,0.759231,1.999896,0.911306,0.253949,0.6,0.65,0.55,0.25,3.5,0.35,112
O3,122,120,122,120,25,0.188121,0.211022,1.465025,0.875,0.466667,0.742408,0.74,1.768711,0.944511,0.241197,0.6,0.65,0.55,0.25,3.5,0.35,112
ALL,498,481,374,361,75,0.316961,0.4322,1.157027,0.85,0.617729,0.781683,0.727173,1.377728,0.905496,0.27823,0.6,0.65,0.55,0.3,2.5,0.3,113
O0,128,121,128,121,25,,,0.352758,,1.0,,,0.298984,,0.336347,0.6,0.65,0.55,0.3,2.5,0.3,113
O1,124,120,0,0,0,-0.011399,-0.011716,1.356102,0.833333,,,,,,,0.6,0.65,0.55,0.3,2.5,0.3,113
O2,124,120,124,120,25,0.206428,0.199132,1.454789,0.841667,0.475,0.721263,0.752308,2.036026,0.912141,0.253035,0.6,0.65,0.55,0.3,2.5,0.3,113
O3,122,120,122,120,25,0.187135,0.210133,1.471163,0.875,0.466667,0.731651,0.740769,1.798174,0.946293,0.242863,0.6,0.65,0.55,0.3,2.5,0.3,113
ALL,498,481,374,361,75,0.317227,0.432361,1.15791,0.85,0.617729,0.781683,0.727173,1.377728,0.905496,0.27823,0.6,0.65,0.55,0.3,2.5,0.35,114
O0,128,121,128,121,25,,,0.352758,,1.0,,,0.298984,,0.336347,0.6,0.65,0.55,0.3,2.5,0.35,114
O1,124,120,0,0,0,-0.009374,-0.011334,1.359641,0.833333,,,,,,,0.6,0.65,0.55,0.3,2.5,0.35,114
O2,124,120,124,120,25,0.206428,0.199132,1.454789,0.841667,0.475,0.721263,0.752308,2.036026,0.912141,0.253035,0.6,0.65,0.55,0.3,2.5,0.35,114
O3,122,120,122,120,25,0.187135,0.210133,1.471163,0.875,0.466667,0.731651,0.740769,1.798174,0.946293,0.242863,0.6,0.65,0.55,0.3,2.5,0.35,114
ALL,498,481,374,361,75,0.316578,0.431195,1.157709,0.85,0.617729,0.781683,0.727173,1.377728,0.905496,0.27823,0.6,0.65,0.55,0.3,3.5,0.3,115
O0,128,121,128,121,25,,,0.352758,,1.0,,,0.298984,,0.336347,0.6,0.65,0.55,0.3,3.5,0.3,115
O1,124,120,0,0,0,-0.013384,-0.01989,1.358834,0.833333,,,,,,,0.6,0.65,0.55,0.3,3.5,0.3,115
O2,124,120,124,120,25,0.206428,0.199132,1.454789,0.841667,0.475,0.721263,0.752308,2.036026,0.912141,0.253035,0.6,0.65,0.55,0.3,3.5,0.3,115
O3,122,120,122,120,25,0.187135,0.210133,1.471163,0.875,0.466667,0.731651,0.740769,1.798174,0.946293,0.242863,0.6,0.65,0.55,0.3,3.5,0.3,115
ALL,498,481,374,361,75,0.316844,0.431356,1.158592,0.85,0.617729,0.781683,0.727173,1.377728,0.905496,0.27823,0.6,0.65,0.55,0.3,3.5,0.35,116
O0,128,121,128,121,25,,,0.352758,,1.0,,,0.298984,,0.336347,0.6,0.65,0.55,0.3,3.5,0.35,116
O1,124,120,0,0,0,-0.011353,-0.019508,1.362374,0.833333,,,,,,,0.6,0.65,0.55,0.3,3.5,0.35,116
O2,124,120,124,120,25,0.206428,0.199132,1.454789,0.841667,0.475,0.721263,0.752308,2.036026,0.912141,0.253035,0.6,0.65,0.55,0.3,3.5,0.35,116
O3,122,120,122,120,25,0.187135,0.210133,1.471163,0.875,0.466667,0.731651,0.740769,1.798174,0.946293,0.242863,0.6,0.65,0.55,0.3,3.5,0.35,116
ALL,498,481,374,361,75,0.307752,0.430956,1.160786,0.85,0.612188,0.79246,0.742972,1.389528,0.889062,0.280589,0.6,0.65,0.55,0.35,2.5,0.3,117
O0,128,121,128,121,25,,,0.361878,,1.0,,,0.299402,,0.344969,0.6,0.65,0.55,0.35,2.5,0.3,117
O1,124,120,0,0,0,-0.010709,-0.015077,1.361851,0.833333,,,,,,,0.6,0.65,0.55,0.35,2.5,0.3,117
O2,124,120,124,120,25,0.181974,0.185443,1.449714,0.841667,0.475,0.730528,0.784615,2.045716,0.883367,0.25899,0.6,0.65,0.55,0.35,2.5,0.3,117
O3,122,120,122,120,25,0.186052,0.210209,1.476358,0.875,0.458333,0.748977,0.75,1.823466,0.948484,0.234997,0.6,0.65,0.55,0.35,2.5,0.3,117
ALL,498,481,374,361,75,0.308051,0.431074,1.161026,0.85,0.612188,0.79246,0.742972,1.389528,0.889062,0.280589,0.6,0.65,0.55,0.35,2.5,0.35,118
O0,128,121,128,121,25,,,0.361878,,1.0,,,0.299402,,0.344969,0.6,0.65,0.55,0.35,2.5,0.35,118
O1,124,120,0,0,0,-0.009245,-0.015077,1.362813,0.833333,,,,,,,0.6,0.65,0.55,0.35,2.5,0.35,118
O2,124,120,124,120,25,0.181974,0.185443,1.449714,0.841667,0.475,0.730528,0.784615,2.045716,0.883367,0.25899,0.6,0.65,0.55,0.35,2.5,0.35,118
O3,122,120,122,120,25,0.186052,0.210209,1.476358,0.875,0.458333,0.748977,0.75,1.823466,0.948484,0.234997,0.6,0.65,0.55,0.35,2.5,0.35,118
ALL,498,481,374,361,75,0.307372,0.429859,1.161468,0.85,0.612188,0.79246,0.742972,1.389528,0.889062,0.280589,0.6,0.65,0.55,0.35,3.5,0.3,119
O0,128,121,128,121,25,,,0.361878,,1.0,,,0.299402,,0.344969,0.6,0.65,0.55,0.35,3.5,0.3,119
O1,124,120,0,0,0,-0.012697,-0.023328,1.364584,0.833333,,,,,,,0.6,0.65,0.55,0.35,3.5,0.3,119
O2,124,120,124,120,25,0.181974,0.185443,1.449714,0.841667,0.475,0.730528,0.784615,2.045716,0.883367,0.25899,0.6,0.65,0.55,0.35,3.5,0.3,119
O3,122,120,122,120,25,0.186052,0.210209,1.476358,0.875,0.458333,0.748977,0.75,1.823466,0.948484,0.234997,0.6,0.65,0.55,0.35,3.5,0.3,119
ALL,498,481,374,361,75,0.30767,0.429977,1.161708,0.85,0.612188,0.79246,0.742972,1.389528,0.889062,0.280589,0.6,0.65,0.55,0.35,3.5,0.35,120
O0,128,121,128,121,25,,,0.361878,,1.0,,,0.299402,,0.344969,0.6,0.65,0.55,0.35,3.5,0.35,120
O1,124,120,0,0,0,-0.011232,-0.023328,1.365545,0.833333,,,,,,,0.6,0.65,0.55,0.35,3.5,0.35,120
O2,124,120,124,120,25,0.181974,0.185443,1.449714,0.841667,0.475,0.730528,0.784615,2.045716,0.883367,0.25899,0.6,0.65,0.55,0.35,3.5,0.35,120
O3,122,120,122,120,25,0.186052,0.210209,1.476358,0.875,0.458333,0.748977,0.75,1.823466,0.948484,0.234997,0.6,0.65,0.55,0.35,3.5,0.35,120
ALL,498,481,374,361,75,0.316777,0.432188,1.154288,0.85,0.614958,0.791111,0.725839,1.352457,0.90542,0.276397,0.6,1.25,0.1,0.25,2.5,0.3,121
O0,128,121,128,121,25,,,0.355988,,1.0,,,0.304933,,0.339512,0.6,1.25,0.1,0.25,2.5,0.3,121
O1,124,120,0,0,0,-0.013463,-0.013084,1.352924,0.833333,,,,,,,0.6,1.25,0.1,0.25,2.5,0.3,121
O2,124,120,124,120,25,0.203146,0.193194,1.448187,0.841667,0.475,0.731979,0.756154,1.990161,0.912691,0.250297,0.6,1.25,0.1,0.25,2.5,0.3,121
O3,122,120,122,120,25,0.187405,0.213216,1.466704,0.875,0.466667,0.742869,0.743846,1.762278,0.946143,0.236705,0.6,1.25,0.1,0.25,2.5,0.3,121
ALL,498,481,374,361,75,0.317055,0.432318,1.15495,0.85,0.614958,0.791111,0.725839,1.352457,0.90542,0.276397,0.6,1.25,0.1,0.25,2.5,0.35,122
O0,128,121,128,121,25,,,0.355988,,1.0,,,0.304933,,0.339512,0.6,1.25,0.1,0.25,2.5,0.35,122
O1,124,120,0,0,0,-0.011611,-0.013084,1.355581,0.833333,,,,,,,0.6,1.25,0.1,0.25,2.5,0.35,122
O2,124,120,124,120,25,0.203146,0.193194,1.448187,0.841667,0.475,0.731979,0.756154,1.990161,0.912691,0.250297,0.6,1.25,0.1,0.25,2.5,0.35,122
O3,122,120,122,120,25,0.187405,0.213216,1.466704,0.875,0.466667,0.742869,0.743846,1.762278,0.946143,0.236705,0.6,1.25,0.1,0.25,2.5,0.35,122
ALL,498,481,374,361,75,0.316638,0.43127,1.154566,0.85,0.614958,0.791111,0.725839,1.352457,0.90542,0.276397,0.6,1.25,0.1,0.25,3.5,0.3,123
O0,128,121,128,121,25,,,0.355988,,1.0,,,0.304933,,0.339512,0.6,1.25,0.1,0.25,3.5,0.3,123
O1,124,120,0,0,0,-0.014304,-0.020092,1.354042,0.833333,,,,,,,0.6,1.25,0.1,0.25,3.5,0.3,123
O2,124,120,124,120,25,0.203146,0.193194,1.448187,0.841667,0.475,0.731979,0.756154,1.990161,0.912691,0.250297,0.6,1.25,0.1,0.25,3.5,0.3,123
O3,122,120,122,120,25,0.187405,0.213216,1.466704,0.875,0.466667,0.742869,0.743846,1.762278,0.946143,0.236705,0.6,1.25,0.1,0.25,3.5,0.3,123
ALL,498,481,374,361,75,0.316916,0.4314,1.155229,0.85,0.614958,0.791111,0.725839,1.352457,0.90542,0.276397,0.6,1.25,0.1,0.25,3.5,0.35,124
O0,128,121,128,121,25,,,0.355988,,1.0,,,0.304933,,0.339512,0.6,1.25,0.1,0.25,3.5,0.35,124
O1,124,120,0,0,0,-0.01245,-0.020092,1.356699,0.833333,,,,,,,0.6,1.25,0.1,0.25,3.5,0.35,124
O2,124,120,124,120,25,0.203146,0.193194,1.448187,0.841667,0.475,0.731979,0.756154,1.990161,0.912691,0.250297,0.6,1.25,0.1,0.25,3.5,0.35,124
O3,122,120,122,120,25,0.187405,0.213216,1.466704,0.875,0.466667,0.742869,0.743846,1.762278,0.946143,0.236705,0.6,1.25,0.1,0.25,3.5,0.35,124
ALL,498,481,374,361,75,0.31646,0.431762,1.159131,0.85,0.614958,0.781145,0.723143,1.375945,0.906215,0.276302,0.6,1.25,0.1,0.3,2.5,0.3,125
O0,128,121,128,121,25,,,0.356532,,1.0,,,0.307569,,0.339803,0.6,1.25,0.1,0.3,2.5,0.3,125
O1,124,120,0,0,0,-0.010733,-0.010709,1.357657,0.833333,,,,,,,0.6,1.25,0.1,0.3,2.5,0.3,125
O2,124,120,124,120,25,0.205281,0.192479,1.45593,0.841667,0.475,0.721019,0.749231,2.02733,0.913585,0.248982,0.6,1.25,0.1,0.3,2.5,0.3,125
O3,122,120,122,120,25,0.186388,0.21064,1.473091,0.875,0.466667,0.732208,0.740769,1.792937,0.948006,0.237444,0.6,1.25,0.1,0.3,2.5,0.3,125
ALL,498,481,374,361,75,0.316727,0.431914,1.159999,0.85,0.614958,0.781145,0.723143,1.375945,0.906215,0.276302,0.6,1.25,0.1,0.3,2.5,0.35,126
O0,128,121,128,121,25,,,0.356532,,1.0,,,0.307569,,0.339803,0.6,1.25,0.1,0.3,2.5,0.35,126
O1,124,120,0,0,0,-0.008719,-0.010327,1.361137,0.833333,,,,,,,0.6,1.25,0.1,0.3,2.5,0.35,126
O2,124,120,124,120,25,0.205281,0.192479,1.45593,0.841667,0.475,0.721019,0.749231,2.02733,0.913585,0.248982,0.6,1.25,0.1,0.3,2.5,0.35,126
O3,122,120,122,120,25,0.186388,0.21064,1.473091,0.875,0.466667,0.732208,0.740769,1.792937,0.948006,0.237444,0.6,1.25,0.1,0.3,2.5,0.35,126
ALL,498,481,374,361,75,0.316322,0.430845,1.15941,0.85,0.614958,0.781145,0.723143,1.375945,0.906215,0.276302,0.6,1.25,0.1,0.3,3.5,0.3,127
O0,128,121,128,121,25,,,0.356532,,1.0,,,0.307569,,0.339803,0.6,1.25,0.1,0.3,3.5,0.3,127
O1,124,120,0,0,0,-0.011567,-0.017508,1.358775,0.833333,,,,,,,0.6,1.25,0.1,0.3,3.5,0.3,127
O2,124,120,124,120,25,0.205281,0.192479,1.45593,0.841667,0.475,0.721019,0.749231,2.02733,0.913585,0.248982,0.6,1.25,0.1,0.3,3.5,0.3,127
O3,122,120,122,120,25,0.186388,0.21064,1.473091,0.875,0.466667,0.732208,0.740769,1.792937,0.948006,0.237444,0.6,1.25,0.1,0.3,3.5,0.3,127
ALL,498,481,374,361,75,0.316589,0.430997,1.160278,0.85,0.614958,0.781145,0.723143,1.375945,0.906215,0.276302,0.6,1.25,0.1,0.3,3.5,0.35,128
O0,128,121,128,121,25,,,0.356532,,1.0,,,0.307569,,0.339803,0.6,1.25,0.1,0.3,3.5,0.35,128
O1,124,120,0,0,0,-0.009551,-0.017126,1.362255,0.833333,,,,,,,0.6,1.25,0.1,0.3,3.5,0.35,128
O2,124,120,124,120,25,0.205281,0.192479,1.45593,0.841667,0.475,0.721019,0.749231,2.02733,0.913585,0.248982,0.6,1.25,0.1,0.3,3.5,0.35,128
O3,122,120,122,120,25,0.186388,0.21064,1.473091,0.875,0.466667,0.732208,0.740769,1.792937,0.948006,0.237444,0.6,1.25,0.1,0.3,3.5,0.35,128
ALL,498,481,374,361,75,0.307294,0.430809,1.162892,0.85,0.609418,0.792196,0.738305,1.388388,0.889792,0.278584,0.6,1.25,0.1,0.35,2.5,0.3,129
O0,128,121,128,121,25,,,0.365668,,1.0,,,0.307987,,0.34844,0.6,1.25,0.1,0.35,2.5,0.3,129
O1,124,120,0,0,0,-0.009801,-0.013181,1.363206,0.833333,,,,,,,0.6,1.25,0.1,0.35,2.5,0.3,129
O2,124,120,124,120,25,0.180636,0.179443,1.451094,0.841667,0.475,0.730638,0.778462,2.03736,0.884828,0.2547,0.6,1.25,0.1,0.35,2.5,0.3,129
O3,122,120,122,120,25,0.185467,0.211758,1.478243,0.875,0.466667,0.749626,0.75,1.819818,0.950209,0.229567,0.6,1.25,0.1,0.35,2.5,0.3,129
ALL,498,481,374,361,75,0.307593,0.430927,1.163132,0.85,0.609418,0.792196,0.738305,1.388388,0.889792,0.278584,0.6,1.25,0.1,0.35,2.5,0.35,130
O0,128,121,128,121,25,,,0.365668,,1.0,,,0.307987,,0.34844,0.6,1.25,0.1,0.35,2.5,0.35,130
O1,124,120,0,0,0,-0.008335,-0.013181,1.364167,0.833333,,,,,,,0.6,1.25,0.1,0.35,2.5,0.35,130
O2,124,120,124,120,25,0.180636,0.179443,1.451094,0.841667,0.475,0.730638,0.778462,2.03736,0.884828,0.2547,0.6,1.25,0.1,0.35,2.5,0.35,130
O3,122,120,122,120,25,0.185467,0.211758,1.478243,0.875,0.466667,0.749626,0.75,1.819818,0.950209,0.229567,0.6,1.25,0.1,0.35,2.5,0.35,130
ALL,498,481,374,361,75,0.307156,0.429811,1.163171,0.85,0.609418,0.792196,0.738305,1.388388,0.889792,0.278584,0.6,1.25,0.1,0.35,3.5,0.3,131
O0,128,121,128,121,25,,,0.365668,,1.0,,,0.307987,,0.34844,0.6,1.25,0.1,0.35,3.5,0.3,131
O1,124,120,0,0,0,-0.010636,-0.020279,1.364324,0.833333,,,,,,,0.6,1.25,0.1,0.35,3.5,0.3,131
O2,124,120,124,120,25,0.180636,0.179443,1.451094,0.841667,0.475,0.730638,0.778462,2.03736,0.884828,0.2547,0.6,1.25,0.1,0.35,3.5,0.3,131
O3,122,120,122,120,25,0.185467,0.211758,1.478243,0.875,0.466667,0.749626,0.75,1.819818,0.950209,0.229567,0.6,1.25,0.1,0.35,3.5,0.3,131
ALL,498,481,374,361,75,0.307455,0.42993,1.163411,0.85,0.609418,0.792196,0.738305,1.388388,0.889792,0.278584,0.6,1.25,0.1,0.35,3.5,0.35,132
O0,128,121,128,121,25,,,0.365668,,1.0,,,0.307987,,0.34844,0.6,1.25,0.1,0.35,3.5,0.35,132
O1,124,120,0,0,0,-0.00917,-0.020279,1.365285,0.833333,,,,,,,0.6,1.25,0.1,0.35,3.5,0.35,132
O2,124,120,124,120,25,0.180636,0.179443,1.451094,0.841667,0.475,0.730638,0.778462,2.03736,0.884828,0.2547,0.6,1.25,0.1,0.35,3.5,0.35,132
O3,122,120,122,120,25,0.185467,0.211758,1.478243,0.875,0.466667,0.749626,0.75,1.819818,0.950209,0.229567,0.6,1.25,0.1,0.35,3.5,0.35,132
ALL,498,481,374,361,75,0.317503,0.433064,1.151868,0.85,0.614958,0.791112,0.725839,1.352459,0.904405,0.279924,0.6,1.25,0.55,0.25,2.5,0.3,133
O0,128,121,128,121,25,,,0.355756,,1.0,,,0.304933,,0.339293,0.6,1.25,0.55,0.25,2.5,0.3,133
O1,124,120,0,0,0,-0.013117,-0.012598,1.352336,0.833333,,,,,,,0.6,1.25,0.55,0.25,2.5,0.3,133
O2,124,120,124,120,25,0.205074,0.199535,1.443265,0.841667,0.475,0.731979,0.756154,1.990158,0.911184,0.255906,0.6,1.25,0.55,0.25,2.5,0.3,133
O3,122,120,122,120,25,0.189058,0.215216,1.462749,0.875,0.466667,0.742869,0.743846,1.762285,0.944546,0.242046,0.6,1.25,0.55,0.25,2.5,0.3,133
ALL,498,481,374,361,75,0.31778,0.433194,1.152531,0.85,0.614958,0.791112,0.725839,1.352459,0.904405,0.279924,0.6,1.25,0.55,0.25,2.5,0.35,134
O0,128,121,128,121,25,,,0.355756,,1.0,,,0.304933,,0.339293,0.6,1.25,0.55,0.25,2.5,0.35,134
O1,124,120,0,0,0,-0.011266,-0.012598,1.354993,0.833333,,,,,,,0.6,1.25,0.55,0.25,2.5,0.35,134
O2,124,120,124,120,25,0.205074,0.199535,1.443265,0.841667,0.475,0.731979,0.756154,1.990158,0.911184,0.255906,0.6,1.25,0.55,0.25,2.5,0.35,134
O3,122,120,122,120,25,0.189058,0.215216,1.462749,0.875,0.466667,0.742869,0.743846,1.762285,0.944546,0.242046,0.6,1.25,0.55,0.25,2.5,0.35,134
ALL,498,481,374,361,75,0.317366,0.432247,1.152142,0.85,0.614958,0.791112,0.725839,1.352459,0.904405,0.279924,0.6,1.25,0.55,0.25,3.5,0.3,135
O0,128,121,128,121,25,,,0.355756,,1.0,,,0.304933,,0.339293,0.6,1.25,0.55,0.25,3.5,0.3,135
O1,124,120,0,0,0,-0.013942,-0.018279,1.353432,0.833333,,,,,,,0.6,1.25,0.55,0.25,3.5,0.3,135
O2,124,120,124,120,25,0.205074,0.199535,1.443265,0.841667,0.475,0.731979,0.756154,1.990158,0.911184,0.255906,0.6,1.25,0.55,0.25,3.5,0.3,135
O3,122,120,122,120,25,0.189058,0.215216,1.462749,0.875,0.466667,0.742869,0.743846,1.762285,0.944546,0.242046,0.6,1.25,0.55,0.25,3.5,0.3,135
ALL,498,481,374,361,75,0.317644,0.432377,1.152804,0.85,0.614958,0.791112,0.725839,1.352459,0.904405,0.279924,0.6,1.25,0.55,0.25,3.5,0.35,136
O0,128,121,128,121,25,,,0.355756,,1.0,,,0.304933,,0.339293,0.6,1.25,0.55,0.25,3.5,0.35,136
O1,124,120,0,0,0,-0.012089,-0.018279,1.356089,0.833333,,,,,,,0.6,1.25,0.55,0.25,3.5,0.35,136
O2,124,120,124,120,25,0.205074,0.199535,1.443265,0.841667,0.475,0.731979,0.756154,1.990158,0.911184,0.255906,0.6,1.25,0.55,0.25,3.5,0.35,136
O3,122,120,122,120,25,0.189058,0.215216,1.462749,0.875,0.466667,0.742869,0.743846,1.762285,0.944546,0.242046,0.6,1.25,0.55,0.25,3.5,0.35,136
ALL,498,481,374,361,75,0.317184,0.432644,1.156709,0.85,0.614958,0.781145,0.723143,1.375945,0.905204,0.279828,0.6,1.25,0.55,0.3,2.5,0.3,137
O0,128,121,128,121,25,,,0.356301,,1.0,,,0.307569,,0.339584,0.6,1.25,0.55,0.3,2.5,0.3,137
O1,124,120,0,0,0,-0.010387,-0.010223,1.357061,0.833333,,,,,,,0.6,1.25,0.55,0.3,2.5,0.3,137
O2,124,120,124,120,25,0.207195,0.198917,1.451009,0.841667,0.475,0.721019,0.749231,2.02733,0.912104,0.25459,0.6,1.25,0.55,0.3,2.5,0.3,137
O3,122,120,122,120,25,0.188034,0.212452,1.469135,0.875,0.466667,0.732208,0.740769,1.792937,0.946416,0.242783,0.6,1.25,0.55,0.3,2.5,0.3,137
ALL,498,481,374,361,75,0.31745,0.432796,1.157577,0.85,0.614958,0.781145,0.723143,1.375945,0.905204,0.279828,0.6,1.25,0.55,0.3,2.5,0.35,138
O0,128,121,128,121,25,,,0.356301,,1.0,,,0.307569,,0.339584,0.6,1.25,0.55,0.3,2.5,0.35,138
O1,124,120,0,0,0,-0.008375,-0.009841,1.360541,0.833333,,,,,,,0.6,1.25,0.55,0.3,2.5,0.35,138
O2,124,120,124,120,25,0.207195,0.198917,1.451009,0.841667,0.475,0.721019,0.749231,2.02733,0.912104,0.25459,0.6,1.25,0.55,0.3,2.5,0.35,138
O3,122,120,122,120,25,0.188034,0.212452,1.469135,0.875,0.466667,0.732208,0.740769,1.792937,0.946416,0.242783,0.6,1.25,0.55,0.3,2.5,0.35,138
